x1,x2,x3,x4,x5,x6,x7,actual y1,actual y2,actual y3,,theta values for y1,0.91572896,-1.80012011,7.54930852,0.32024571,-0.368518,1.10706391,0.20249522,predicted y1,,theta vaues for y2,-0.00065351,0.03896763,0.10953545,-0.04470035,-0.07602909,0.64768152,-0.00427916,predicted y2,,theta values for y3,-0.04240549,-0.03878085,0.00791711,0.0058794,-0.04304734,0.63151059,-0.04253519,predicted y3,,,
66.66666667,13.33333333,1,0,4.666666667,6.666666667,7.666666667,58,4.7,0.29,,,61.04859734,-24.00160146,7.54930852,0,-1.719750667,7.380426067,1.552463353,51.80944315,,,-0.043567333,0.5195684,0.10953545,0,-0.35480242,4.3178768,-0.032806893,4.515804003,,,-2.827032667,-0.517078,0.00791711,0,-0.200887587,4.2100706,-0.326103123,0.346886334,,,
66.66666667,16.66666667,1,0,4.666666667,6.666666667,4.333333333,45,4,0.36,,,61.04859734,-30.00200184,7.54930852,0,-1.719750667,7.380426067,0.877479287,45.1340587,,,-0.043567333,0.6494605,0.10953545,0,-0.35480242,4.3178768,-0.018543027,4.65995997,,,-2.827032667,-0.6463475,0.00791711,0,-0.200887587,4.2100706,-0.184319157,0.3594008,,,
66.66666667,16.66666667,1.333333333,0,4.666666667,6.666666667,4,41,4,0.42,,,61.04859734,-30.00200184,10.06574469,0,-1.719750667,7.380426067,0.80998088,47.58299647,,,-0.043567333,0.6494605,0.146047267,0,-0.35480242,4.3178768,-0.01711664,4.697898174,,,-2.827032667,-0.6463475,0.010556147,0,-0.200887587,4.2100706,-0.17014076,0.376218233,,,
66.66666667,16.66666667,0.666666667,1,4.666666667,6.666666667,4.666666667,52,4.6,0.28,,,61.04859734,-30.00200184,5.032872349,0.32024571,-1.719750667,7.380426067,0.944977693,43.00536665,,,-0.043567333,0.6494605,0.073023633,-0.04470035,-0.35480242,4.3178768,-0.019969413,4.577321417,,,-2.827032667,-0.6463475,0.005278073,0.0058794,-0.200887587,4.2100706,-0.198497553,0.348462767,,,
66.66666667,13.33333333,1,1,4.666666667,6.666666667,7.666666667,59,4.9,0.24,,,61.04859734,-24.00160146,7.54930852,0.32024571,-1.719750667,7.380426067,1.552463353,52.12968886,,,-0.043567333,0.5195684,0.10953545,-0.04470035,-0.35480242,4.3178768,-0.032806893,4.471103653,,,-2.827032667,-0.517078,0.00791711,0.0058794,-0.200887587,4.2100706,-0.326103123,0.352765734,,,
66.66666667,16.66666667,1,1,4.666666667,6.666666667,4.333333333,45,5,0.28,,,61.04859734,-30.00200184,7.54930852,0.32024571,-1.719750667,7.380426067,0.877479287,45.45430441,,,-0.043567333,0.6494605,0.10953545,-0.04470035,-0.35480242,4.3178768,-0.018543027,4.61525962,,,-2.827032667,-0.6463475,0.00791711,0.0058794,-0.200887587,4.2100706,-0.184319157,0.3652802,,,
66.66666667,16.66666667,1.333333333,1,4.666666667,6.666666667,4,41,5.3,0.23,,,61.04859734,-30.00200184,10.06574469,0.32024571,-1.719750667,7.380426067,0.80998088,47.90324218,,,-0.043567333,0.6494605,0.146047267,-0.04470035,-0.35480242,4.3178768,-0.01711664,4.653197824,,,-2.827032667,-0.6463475,0.010556147,0.0058794,-0.200887587,4.2100706,-0.17014076,0.382097633,,,
53.33333333,20,0.666666667,0,10,6.666666667,9.333333333,15,4,0.56,,,48.83887786,-36.0024022,5.032872349,0,-3.68518,7.380426067,1.889955387,23.45454947,,,-0.034853867,0.7793526,0.073023633,0,-0.7602909,4.3178768,-0.039938827,4.33516944,,,-2.261626133,-0.775617,0.005278073,0,-0.4304734,4.2100706,-0.396995107,0.350637034,,,
43.33333333,13.33333333,1.333333333,0,10,6.666666667,25.33333333,40,4.2,0.29,,,39.68158826,-24.00160146,10.06574469,0,-3.68518,7.380426067,5.129878906,34.57085647,,,-0.028318767,0.5195684,0.146047267,0,-0.7602909,4.3178768,-0.108405387,4.086477413,,,-1.837571233,-0.517078,0.010556147,0,-0.4304734,4.2100706,-1.077558147,0.357945967,,,
43.33333333,13.33333333,1.333333333,1,7.333333333,6.666666667,28,35,4,0.26,,,39.68158826,-24.00160146,10.06574469,0.32024571,-2.702465333,7.380426067,5.66986616,36.4138041,,,-0.028318767,0.5195684,0.146047267,-0.04470035,-0.55754666,4.3178768,-0.11981648,4.23311021,,,-1.837571233,-0.517078,0.010556147,0.0058794,-0.315680493,4.2100706,-1.19098532,0.3651911,,,
